,train_loss,valid_loss
0,0.0006805467461786423,0.0019073842114900848
1,0.0005237939083272477,0.0013819997955497672
2,0.0005103404505462095,0.0010278147571330934
3,0.0005033380557915223,0.0009420757989502325
4,0.0004970233569897727,0.0008695071144241756
5,0.0004916884221161586,0.0007836478470473943
6,0.00048487450440619936,0.0007281743827946014
7,0.0004793050528134924,0.0006751673594724549
8,0.0004722435232140291,0.0006488819987360299
9,0.000466106137409543,0.00063009110007038
10,0.00046054886226986046,0.0006337152804371471
11,0.0004548871929932574,0.0006324820593391319
12,0.00045069175111973566,0.0006224779379250401
13,0.00044508148072524683,0.0006170174835000297
14,0.0004394881147868801,0.0006202191646213462
15,0.00043426322817947624,0.0006341617984656731
16,0.00042937050740588705,0.0006332096223230245
17,0.00042517015387265214,0.0006437764151121763
18,0.0004200369003484319,0.0006475710698392315
19,0.0004147773076429178,0.0006434223586468086
20,0.0004085578219969597,0.0006244565100395375
21,0.0004030537913034126,0.0006272642635090504
22,0.00039741677964935006,0.000634350378469918
23,0.00039111066629875186,0.0006212852286651004
24,0.0003840971274032935,0.0006245007131250019
25,0.0003771766873796878,0.0006213060133717562
26,0.00037055932363544116,0.0006202609766618222
27,0.0003642832179844191,0.0006178652579167291
28,0.00035804604828187486,0.0006189854706371096
